Clear Domain,Type,URL,DNS Lookup (ms),TCP Connect (ms),TLS Handshake (ms),DOMContentLoaded (ms),Page Load (ms),Total Time (ms),Circuit Relays (Onion only)
archive.is,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0,1282,,2161,2162,2162,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 17B40C5962AAF8F69667967E8936AE13280B3707:laurita:95.211.205.138:NL
archive.is,clear,https://archive.is,67,1037,,1759,3397,3397,
rferl.org,onion,https://www.rferlo2zxgv23tct66v45s5mecftol5vod3hf4rqbipfp46fqu2q56ad.onion/,0,1935,,4108,9040,9040,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 5822CD8E814A810084FB339FFB8575FC710C7F31:flokisboat:188.68.50.76:DE
rferl.org,clear,https://rferl.org,30,23,,402,1529,1529,
mullvad.net,onion,http://o54hon2e2vj6c7m3aqqu6uyece65by3vgoxxhlqlsvkmacw6a7m7kiad.onion/en,0,1116,,2632,8687,8687,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; F472AD739171F1F62518E88DA06FC9B155341F95:IchBinHobbylosDA:193.108.52.87:CH
mullvad.net,clear,https://mullvad.net,0,0,2,278,711,711,
archive.ph,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0,372,,1086,1086,1086,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 17B40C5962AAF8F69667967E8936AE13280B3707:laurita:95.211.205.138:NL
archive.ph,clear,https://archive.ph,31,1080,1,2245,2888,2888,
mempool.space,onion,http://mempoolhqx4isw62xs7abwphsq7ldayuidyx2v2oethdhhj6mlo2r6ad.onion/,0,0,,4450,5502,5502,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; C4A67D45ABB1806E13C1F4B4C83FE4B22E2B8A51:bauruine:50.118.225.161:NL
mempool.space,clear,https://mempool.space,0,0,2,432,1899,1899,
