Clear Domain,Type,URL,DNS Lookup (ms),TCP Connect (ms),TLS Handshake (ms),DOMContentLoaded (ms),Page Load (ms),Total Time (ms),Circuit Relays (Onion only)
blockstream.info,onion,http://explorerzydxu5ecjrkwceayqybizmpjjznk5izmitf2modhcusuqlid.onion/,0,1951,,2591,10377,10377,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 51E058D503BF6456185373B44751F655567E44B8:Eburones:37.46.211.9:CZ
blockstream.info,clear,https://blockstream.info,17,138,1,471,2054,2054,
svoboda.org,onion,https://www.svobod7mjzb3hwxhgcnx7ui2ffd4p5zulftzkzdlmpaztuuoxnlpwhyd.onion/,0,1354,,3824,7759,7759,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 58ED9C9C35E433EE58764D62892B4FFD518A3CD0:SamAAdams2:92.205.108.158:FR
svoboda.org,clear,https://svoboda.org,22,21,1,269,1108,1108,
archive.org,onion,https://archivep75mbjunhxc6x4j5mwjmomyxb573v42baldlqu56ruil2oiad.onion/,0,2710,,5556,12759,12759,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 9AB93B5422149E5DFF4BE6A3814E2F6D9648DB6A:atomcats:198.244.229.228:GB
archive.org,clear,https://archive.org,17,340,,1150,1654,1654,
theguardian.com,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0,20945,,28821,41851,41851,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 098F6B044624C693E1973893637E54ED4777D893:NoPrivacy:104.168.35.199:US
theguardian.com,clear,https://theguardian.com,0,0,1,283,391,391,
brave.com,onion,https://brave4u7jddbv7cyviptqjc7jusxh72uik7zt6adtckl5f4nwy2v72qd.onion/index.html,0,0,1,5698,8213,8213,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; A9509B4D95C93A4810E1DEF79888F497676F4B90:denzelcurrycarol:64.65.63.50:NL
brave.com,clear,https://brave.com,22,50,10,376,402,402,
guardian.co.uk,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0,1455,,6440,6440,6440,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 098F6B044624C693E1973893637E54ED4777D893:NoPrivacy:104.168.35.199:US
guardian.co.uk,clear,https://guardian.co.uk,0,0,1,313,442,442,
voanews.com,onion,https://www.voanews5aitmne6gs2btokcacixclgfl43cv27sirgbauyyjylwpdtqd.onion/,0,6150,,8427,13598,13598,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 303509AB910EF207B7438C27435C4A2FD579F1B1:Ukko:95.216.33.30:FI
voanews.com,clear,https://voanews.com,22,19,8,390,1319,1319,
proton.me,onion,https://protonmailrmez3lotccipshtkleegetolb73fuirgj7r4o4vfu7ozyd.onion/,0,1148,,2430,3417,3417,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; A4974CEE043BD5C13C4EA1E533C3D96F847E1891:RelayUli:87.106.134.107:DE
proton.me,clear,https://proton.me,22,48,,288,509,509,
amnesty.org,onion,https://www.amnestyl337aduwuvpf57irfl54ggtnuera45ygcxzuftwxjvvmpuzqd.onion,0,0,1,5196,5624,5624,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 0BC31B9A05EFC7589339452F6475AF92A5581410:PommespanzerDE8:212.227.135.115:DE
amnesty.org,clear,https://amnesty.org,0,0,,706,723,723,
propublica.org,onion,http://p53lf57qovyuvwsc6xnrppyply3vtqm7l6pcobkmyqsiofyeznfu5uqd.onion/,0,1140,,2875,6295,6295,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 6DF9B54DF49AEB5992B9AF8D4ECFA7BCC7447A8B:Belize:51.158.201.235:NL
propublica.org,clear,https://propublica.org,27,16,,941,1871,1871,
torproject.org,onion,http://2gzyxa5ihm7nsggfxnu52rck2vv4rvmdlkiu3zzui5du4xyclen53wid.onion/index.html,0,3031,,4104,5229,5229,
torproject.org,clear,https://torproject.org,0,41,,407,572,572,
archive.is,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0,1467,,2421,2422,2422,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 2BDC19C98DB0DE0E8B97D339AB6E3D9E3CC7B36D:GETmoneroDOTorg:185.153.55.240:SE
archive.is,clear,https://archive.is,31,1026,,1941,3560,3560,
rferl.org,onion,https://www.rferlo2zxgv23tct66v45s5mecftol5vod3hf4rqbipfp46fqu2q56ad.onion/,0,3398,,6018,10562,10562,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; D7C218579374ED6525E12362A0B2A3DAEB0B5CEC:Unnamed:135.181.63.118:FI
rferl.org,clear,https://rferl.org,25,15,,746,1840,1840,
mullvad.net,onion,http://o54hon2e2vj6c7m3aqqu6uyece65by3vgoxxhlqlsvkmacw6a7m7kiad.onion/en,0,803,,1856,5665,5665,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; EE2A621042994B29452C12FF3B6F62D9E957758C:Unnamed:145.239.41.102:FR
mullvad.net,clear,https://mullvad.net,0,0,3,301,696,696,
archive.ph,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0,461,,1200,1200,1200,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 2BDC19C98DB0DE0E8B97D339AB6E3D9E3CC7B36D:GETmoneroDOTorg:185.153.55.240:SE
archive.ph,clear,https://archive.ph,26,1028,1,1934,2786,2786,
mempool.space,onion,http://mempoolhqx4isw62xs7abwphsq7ldayuidyx2v2oethdhhj6mlo2r6ad.onion/,0,0,,4015,5117,5117,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 93EFD5A27403A87E448B5E0D8C27329FD6E6829E:ForPrivacyNET:185.220.101.193:DE
mempool.space,clear,https://mempool.space,0,0,1,457,1867,1867,
taz.de,onion,http://zervmwoc5flabhlh3heegnspbpoebbgr3kgkaarkpnz2gtsuunlxgqyd.onion/!p4608;web/,0,0,,5894,7232,7232,
taz.de,clear,https://taz.de,0,103,,381,512,512,
marxists.org,onion,http://www.marxists3va6eopxoeiegih3iyex2zg3tmace7afbxjqlabmranzjjad.onion/index.htm,0,1495,,2597,4366,4366,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 88D4E2A8211DBBDF9FEA7194C72BF36860D49799:prsv:2.58.56.92:NL
marxists.org,clear,https://marxists.org,17,104,,417,594,594,
wiz.biz,onion,http://wizbizrnszzzyfe6j75tpwd7hn4gf2tlvzdsokkosxfbox73ctzaqdqd.onion/,0,2724,,3792,4741,4741,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 327EEC1C3496BED6056DE756A3FD5AC4A69F84D9:TheSuccubus:178.162.221.111:DE
wiz.biz,clear,https://wiz.biz,45,339,,751,914,914,
f-droid.org,onion,http://fdroidorg6cooksyluodepej4erfctzk7rrjpjbbr6wx24jh3lqyfwyd.onion/index.html.en,0,4202,,6429,7652,7652,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 2F5A5A2787DB397EF84BA766E0B0F10A60930820:tripstarmemphis:64.65.1.99:US
f-droid.org,clear,https://f-droid.org,1,114,,408,486,486,
cock.li,onion,http://rurcblzhmdk22kttfkel2zduhyu3r6to7knyc7wiorzrx5gw4c3lftad.onion/,0,806,,1069,1517,1517,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; C10C5E70C292CE841739DA0BEA2D311D14401E88:prsv:46.29.235.106:DK
cock.li,clear,https://cock.li,25,77,,169,275,275,
mediapart.fr,onion,https://www.mediapartrvj4bsgolbxixw57ru7fh4jqckparke4vs365guu6ho64yd.onion/,0,827,,3147,3612,3612,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 048FEDBCDAA2F5AD70CC90275EB4434676B408C5:TorUtilizer:81.169.200.3:DE
mediapart.fr,clear,https://mediapart.fr,22,0,,369,457,457,
riseup.net,onion,http://vww6ybal4bd7szmgncyruucpgfkqahzddi37ktceo3ah7ngmcopnpyyd.onion/index.en.html,0,1794,,2709,6139,6139,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; B17D73C6AC1AA5D6A7EFAF538768BF354F2547AE:EGOTISTICALGIRAFFE:65.21.54.19:FI
riseup.net,clear,https://riseup.net,16,533,,752,3097,3097,
blockstream.info,onion,http://explorerzydxu5ecjrkwceayqybizmpjjznk5izmitf2modhcusuqlid.onion/,0,1893,,2597,15184,15184,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 4EE61DA19F1F377058710DCCA78CEE265D18ED7F:zorzadotxyz:68.196.118.127:US
blockstream.info,clear,https://blockstream.info,16,275,,609,2190,2190,
svoboda.org,onion,https://www.svobod7mjzb3hwxhgcnx7ui2ffd4p5zulftzkzdlmpaztuuoxnlpwhyd.onion/,0,1555,,4423,8535,8535,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 555141A0F85B5731E2E894D513848E60B82D8E3C:TORnadoExit01:109.71.252.88:DE
svoboda.org,clear,https://svoboda.org,21,17,,305,1327,1327,
archive.org,onion,https://archivep75mbjunhxc6x4j5mwjmomyxb573v42baldlqu56ruil2oiad.onion/,0,2588,,5390,11465,11465,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 49604A7CC7E80AB3D518AFC3E95B2EA265532719:slotor01:198.244.233.55:GB
archive.org,clear,https://archive.org,22,349,,1329,2141,2141,
theguardian.com,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0,2217,,4925,6544,6544,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 33F221E3A9306FA08A857FE266EBE23720EB6026:h0mer:178.17.170.168:MD
theguardian.com,clear,https://theguardian.com,0,0,2,263,372,372,
brave.com,onion,https://brave4u7jddbv7cyviptqjc7jusxh72uik7zt6adtckl5f4nwy2v72qd.onion/index.html,0,0,1,5722,8579,8579,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; C9F4AD6DB4C186ACA055E682EFB0440E514C3E5C:Link655:185.246.189.156:NL
brave.com,clear,https://brave.com,24,39,1,303,422,422,
guardian.co.uk,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0,1020,,3322,3708,3708,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 33F221E3A9306FA08A857FE266EBE23720EB6026:h0mer:178.17.170.168:MD
guardian.co.uk,clear,https://guardian.co.uk,0,0,1,427,538,538,
voanews.com,onion,https://www.voanews5aitmne6gs2btokcacixclgfl43cv27sirgbauyyjylwpdtqd.onion/,0,1692,,3534,6882,6882,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 9DC0D6442AE1036FDB556185C95754911EB1065A:phobos:94.23.76.52:FR
voanews.com,clear,https://voanews.com,21,17,,482,14119,14119,
proton.me,onion,https://protonmailrmez3lotccipshtkleegetolb73fuirgj7r4o4vfu7ozyd.onion/,0,1174,1,2265,3024,3024,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 45418A624C233F1831797A7A5B5DDB083864594B:Unnamed:62.112.9.92:NL
proton.me,clear,https://proton.me,25,52,,317,539,539,
amnesty.org,onion,https://www.amnestyl337aduwuvpf57irfl54ggtnuera45ygcxzuftwxjvvmpuzqd.onion,0,0,,8684,9608,9608,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 6BA427D9A800A9F15A826ED1A305E4F870F6F1F2:pickleproxy:46.170.113.46:PL
amnesty.org,clear,https://amnesty.org,0,0,3,758,775,775,
propublica.org,onion,http://p53lf57qovyuvwsc6xnrppyply3vtqm7l6pcobkmyqsiofyeznfu5uqd.onion/,0,897,,2732,7892,7892,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; 4F067C5C488173987B568CD7245F1CA71DEE996B:burnaboy:64.65.62.122:US
propublica.org,clear,https://propublica.org,37,13,,1024,2058,2058,
torproject.org,onion,http://2gzyxa5ihm7nsggfxnu52rck2vv4rvmdlkiu3zzui5du4xyclen53wid.onion/index.html,0,2513,,3246,4041,4041,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; BDD1649638E5BCA3303F89BAA27C06DE13ACFB24:UNamurCS01:138.48.33.162:BE
torproject.org,clear,https://torproject.org,17,39,,665,806,806,
archive.is,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0,1764,,2790,2790,2790,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; C4EABB461DB79E4D8F4ED3101E4C90A1DF73455D:Orquid:65.21.227.119:FI
archive.is,clear,https://archive.is,27,999,,2144,3768,3768,
rferl.org,onion,https://www.rferlo2zxgv23tct66v45s5mecftol5vod3hf4rqbipfp46fqu2q56ad.onion/,0,2153,,4282,8508,8508,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; CAF9B20A58F12AD42620AF0E9C9D2265E2DD1447:prsv:45.143.200.240:CH
rferl.org,clear,https://rferl.org,21,14,,380,1384,1384,
mullvad.net,onion,http://o54hon2e2vj6c7m3aqqu6uyece65by3vgoxxhlqlsvkmacw6a7m7kiad.onion/en,0,672,,1506,5151,5151,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 0F4DE55998EB3A301ED7B8F66E6244493F63F727:SrsTubesRelay:194.14.0.246:SE
mullvad.net,clear,https://mullvad.net,0,0,1,275,622,622,
archive.ph,onion,http://archiveiya74codqgiixo33q62qlrqtkgmcitqx5u2oeqnmn5bpcbiyd.onion/,0,562,,1375,1376,1376,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 7179F808E6817142EB2FD67B5AA21DFBC7876907:FragiGrenade:88.99.144.235:DE; C4EABB461DB79E4D8F4ED3101E4C90A1DF73455D:Orquid:65.21.227.119:FI
archive.ph,clear,https://archive.ph,29,1037,,2185,2772,2772,
mempool.space,onion,http://mempoolhqx4isw62xs7abwphsq7ldayuidyx2v2oethdhhj6mlo2r6ad.onion/,0,0,,7737,9637,9637,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 8B188CA8AC660A2E4008D8FDD72C37E10B1F3B09:tutelRelay:45.66.43.3:GR
mempool.space,clear,https://mempool.space,0,0,1,480,1895,1895,
taz.de,onion,http://zervmwoc5flabhlh3heegnspbpoebbgr3kgkaarkpnz2gtsuunlxgqyd.onion/!p4608;web/,0,0,,3059,4133,4133,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; F6BB75A7340B79AC8C0AC4EC780A1929EFD9E20D:dryfish:94.140.114.174:LV
taz.de,clear,https://taz.de,1,135,,435,553,553,
marxists.org,onion,http://www.marxists3va6eopxoeiegih3iyex2zg3tmace7afbxjqlabmranzjjad.onion/index.htm,0,1954,,2882,4413,4413,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 530BC13FE24D7C4849E16D459631B5A6538DEB11:konfuzius:167.235.177.182:DE
marxists.org,clear,https://marxists.org,35,140,1,462,652,652,
wiz.biz,onion,http://wizbizrnszzzyfe6j75tpwd7hn4gf2tlvzdsokkosxfbox73ctzaqdqd.onion/,0,1481,,2256,2991,2991,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; A21B3E16D692FF2B1DB17AF05EFCD7A7B41434CE:toxxicrelay:78.46.80.124:DE
wiz.biz,clear,https://wiz.biz,0,325,,682,846,846,
f-droid.org,onion,http://fdroidorg6cooksyluodepej4erfctzk7rrjpjbbr6wx24jh3lqyfwyd.onion/index.html.en,0,1030,,1914,2713,2713,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 7451225CBA6B689530738AF26E5B9CA2B051827E:WragingRelay:95.217.156.221:FI
f-droid.org,clear,https://f-droid.org,1,92,,349,375,375,
cock.li,onion,http://rurcblzhmdk22kttfkel2zduhyu3r6to7knyc7wiorzrx5gw4c3lftad.onion/,0,772,,1015,1543,1543,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; D4CA7FD04DABF6E2CB679426F5AA3205B640D147:artikel5ev8b:46.232.251.191:DE
cock.li,clear,https://cock.li,12,87,,165,261,261,
mediapart.fr,onion,https://www.mediapartrvj4bsgolbxixw57ru7fh4jqckparke4vs365guu6ho64yd.onion/,0,1953,,5903,6364,6364,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 537FFC655DF0ED4F81FA32385317E6482B373814:bluexile:64.65.62.135:US
mediapart.fr,clear,https://mediapart.fr,23,0,,351,470,470,
riseup.net,onion,http://vww6ybal4bd7szmgncyruucpgfkqahzddi37ktceo3ah7ngmcopnpyyd.onion/index.en.html,0,1932,,2551,5557,5557,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; 24494F0C553D13D1F46BE783DDE1572D7F0850BA:PitivierGlisse:141.145.201.126:FR
riseup.net,clear,https://riseup.net,15,570,,811,3179,3179,
blockstream.info,onion,http://explorerzydxu5ecjrkwceayqybizmpjjznk5izmitf2modhcusuqlid.onion/,0,1395,,1850,8365,8365,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 47EC8468CF423E087FCC746665DF74B2EF9D495D:BumbleSucks:45.84.107.236:SE; C68BF67E4C14E0850F6DC3A3202E70927B0256E3:McKiller:158.180.25.76:DE
blockstream.info,clear,https://blockstream.info,11,94,1,411,2021,2021,
svoboda.org,onion,https://www.svobod7mjzb3hwxhgcnx7ui2ffd4p5zulftzkzdlmpaztuuoxnlpwhyd.onion/,0,2040,,4404,8720,8720,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; CD2D2DAF78D8BEF8156EE9EE9AB5E7CAAE5E65A5:toprelay:5.255.111.151:NL
svoboda.org,clear,https://svoboda.org,26,14,,402,1288,1288,
archive.org,onion,https://archivep75mbjunhxc6x4j5mwjmomyxb573v42baldlqu56ruil2oiad.onion/,0,1803,,3891,9590,9590,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 3981E1F8D7CEAE9DF45DA22DE01059442F796E6F:blacyoungsta:64.65.1.190:US
archive.org,clear,https://archive.org,22,324,,1299,1783,1783,
theguardian.com,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0,2391,,8571,8572,8572,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 8330C8C52A4DC562135369D317D86887BBFE1685:derailleur:131.153.152.122:US
theguardian.com,clear,https://theguardian.com,0,0,2,363,479,479,
brave.com,onion,https://brave4u7jddbv7cyviptqjc7jusxh72uik7zt6adtckl5f4nwy2v72qd.onion/index.html,0,0,,8758,11657,11657,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 57E7AD67EB72B189EE9F5272909DFF7EC5373E92:skankhunt42nl1:5.253.84.137:NL
brave.com,clear,https://brave.com,24,51,,363,380,380,
guardian.co.uk,onion,https://www.guardian2zotagl6tmjucg3lrhxdk4dw3lhbqnkvvkywawy3oqfoprid.onion/europe,0,1272,1,8059,8059,8059,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 8330C8C52A4DC562135369D317D86887BBFE1685:derailleur:131.153.152.122:US
guardian.co.uk,clear,https://guardian.co.uk,0,0,4,338,426,426,
voanews.com,onion,https://www.voanews5aitmne6gs2btokcacixclgfl43cv27sirgbauyyjylwpdtqd.onion/,0,2746,,5070,8959,8959,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; 41913709BB2C7BC3C87D797054AE082116D4FD1E:RmbrViliViorelPaun:87.106.168.172:DE
voanews.com,clear,https://voanews.com,21,19,,352,1207,1207,
proton.me,onion,https://protonmailrmez3lotccipshtkleegetolb73fuirgj7r4o4vfu7ozyd.onion/,0,1552,,3368,4408,4408,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 8D3D9BBFF1B835543B9EB0F5A579A2356935B552:cuptor01:45.136.28.24:DE; DAB09C9C6118A8FD61F91C1186B2CF84A1467B3B:Edric:94.23.76.244:FR
proton.me,clear,https://proton.me,18,43,,291,508,508,
amnesty.org,onion,https://www.amnestyl337aduwuvpf57irfl54ggtnuera45ygcxzuftwxjvvmpuzqd.onion,0,0,1,10211,11056,11056,927DE5FCE32CF5E4B3044A5F8A0AF61159624CE5:EchoOfTruth:213.165.81.97:ES; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; 6ABF9EF4C7D0246CE95DE39DDC4F4919FB049504:0xcc01:152.53.126.108:DE
amnesty.org,clear,https://amnesty.org,0,0,1,673,690,690,
propublica.org,onion,http://p53lf57qovyuvwsc6xnrppyply3vtqm7l6pcobkmyqsiofyeznfu5uqd.onion/,0,683,,2430,8392,8392,6D20598F728F65FE70DFA2FCF52F439BB3C55004:prsv:194.26.192.186:NL; 4BEB8EA1910947E9492F7C7648DD0643438DD5EB:Zensursula:137.74.5.135:PL; AA0D90C85200A0A64CBC58AB4D6AA0058530BCE4:ConeOfLIGHT:94.23.70.32:FR
propublica.org,clear,https://propublica.org,22,18,1,939,1870,1870,
torproject.org,onion,http://2gzyxa5ihm7nsggfxnu52rck2vv4rvmdlkiu3zzui5du4xyclen53wid.onion/index.html,0,818,,1491,2189,2189,
torproject.org,clear,https://torproject.org,18,282,,1760,2487,2487,
